run	set	worker	status	tsload	tssend	doc1img	doc1txt	doc1keys	doc1rel	doc2img	doc2txt	doc2keys	doc2rel	doc3img	doc3txt	doc3keys	doc3rel	doc4img	doc4txt	doc4keys	doc4rel	doc5img	doc5txt	doc5keys	doc5rel	kfails	tfails	comment
1	831	597	Preview	12/09/2011 19:22:38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	558	741	Preview	12/09/2011 19:22:41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	787	277	Preview	12/09/2011 19:22:45	12/09/2011 19:23:26	40.01	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	558	741	Accepted	12/09/2011 19:22:54	12/09/2011 19:25:10	26.41	0.00	1	2	0.00	43.28	2	2	0.00	24.40	2	2	0.00	17.38	2	2	0.00	22.48	1	2	0	0	""
1	108	261	Preview	12/09/2011 19:22:56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	763	193	Preview	12/09/2011 19:23:01	12/09/2011 19:24:32	48.01	0.00	NA	NA	42.05	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	108	261	Accepted	12/09/2011 19:23:07	12/09/2011 19:25:53	44.19	0.00	1	1	18.63	0.00	2	0	58.95	0.00	1	0	25.04	0.00	2	1	18.70	0.00	2	0	0	0	""
1	112	106	Preview	12/09/2011 19:23:11	12/09/2011 19:23:43	30.19	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	798	643	Preview	12/09/2011 19:23:34	12/09/2011 19:24:14	40.01	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	554	277	Preview	12/09/2011 19:23:36	12/09/2011 19:24:57	80.06	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	103	322	Preview	12/09/2011 19:23:39	12/09/2011 19:24:19	40.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	112	106	Skipped	12/09/2011 19:23:44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	608	399	Preview	12/09/2011 19:24:08	12/09/2011 19:24:28	20.03	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	23	135	Preview	12/09/2011 19:24:19	12/09/2011 19:35:30	670.40	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	434	322	Preview	12/09/2011 19:24:20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	452	217	Preview	12/09/2011 19:24:22	12/09/2011 19:24:53	30.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	609	711	Preview	12/09/2011 19:24:33	12/09/2011 19:40:25	951.24	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	608	399	Accepted	12/09/2011 19:24:38	12/09/2011 19:26:20	45.02	0.00	1	2	8.22	0.00	1	2	9.35	0.00	2	1	11.34	0.00	1	2	27.78	0.00	2	1	0	0	""
1	554	277	Skipped	12/09/2011 19:25:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	419	741	Preview	12/09/2011 19:25:14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	419	741	Accepted	12/09/2011 19:25:24	12/09/2011 19:28:05	72.18	0.00	2	2	25.75	0.00	2	1	22.30	0.00	2	0	24.46	0.00	2	1	14.32	0.00	1	2	0	0	""
1	10	745	Preview	12/09/2011 19:25:30	12/09/2011 19:25:41	10.08	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	551	261	Preview	12/09/2011 19:25:57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	551	261	Accepted	12/09/2011 19:26:01	12/09/2011 19:28:25	31.65	0.00	2	2	15.50	0.00	1	2	34.33	0.00	2	2	16.29	0.00	1	1	45.39	0.00	2	1	0	0	""
1	5	556	Preview	12/09/2011 19:26:19	12/09/2011 19:27:00	40.02	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	458	399	Preview	12/09/2011 19:26:23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	800	17	Preview	12/09/2011 19:28:03	12/09/2011 19:29:24	80.06	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	434	741	Preview	12/09/2011 19:28:09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	434	741	Accepted	12/09/2011 19:28:15	12/09/2011 19:29:45	21.16	0.00	1	2	19.58	3.03	1	1	17.72	0.00	1	1	9.75	0.00	1	2	17.12	0.00	1	2	0	0	""
1	424	345	Preview	12/09/2011 19:28:19	12/09/2011 19:29:31	71.58	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	785	261	Preview	12/09/2011 19:28:28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	546	145	Preview	12/09/2011 19:28:31	12/09/2011 19:29:11	40.01	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	785	261	Accepted	12/09/2011 19:28:32	12/09/2011 19:30:57	26.04	0.00	2	2	16.69	0.00	1	1	37.69	0.00	1	0	21.96	0.00	1	1	41.80	0.00	2	1	0	0	""
1	546	145	Skipped	12/09/2011 19:29:20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	832	741	Accepted	12/09/2011 19:29:50	12/09/2011 19:31:07	15.27	0.00	1	2	15.28	0.00	2	2	12.08	0.00	1	1	16.39	0.00	1	2	15.58	0.00	2	2	0	0	""
1	761	344	Preview	12/09/2011 19:30:01	12/09/2011 19:30:42	40.06	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	562	87	Preview	12/09/2011 19:30:24	12/09/2011 19:33:17	170.04	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	116	261	Preview	12/09/2011 19:31:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	116	261	Accepted	12/09/2011 19:31:06	12/09/2011 19:33:55	82.60	0.00	1	0	24.66	0.00	2	1	30.59	0.00	2	1	15.48	0.00	1	2	15.39	0.00	2	2	0	0	""
1	462	741	Accepted	12/09/2011 19:31:12	12/09/2011 19:32:42	32.97	0.00	1	0	12.05	0.00	1	2	16.09	0.00	2	2	16.34	0.00	1	2	11.52	0.00	2	2	0	0	""
1	403	741	Accepted	12/09/2011 19:32:47	12/09/2011 19:34:28	17.14	0.00	1	2	19.85	0.00	1	2	22.63	0.00	1	1	27.23	0.00	1	0	13.18	0.00	1	2	1	0	""
1	562	87	Accepted	12/09/2011 19:33:20	12/09/2011 19:37:19	81.14	0.00	1	1	44.82	0.00	2	1	28.82	0.00	2	2	64.15	0.00	2	0	18.87	0.00	2	1	0	0	""
1	609	295	Preview	12/09/2011 19:33:53	12/09/2011 19:34:44	50.03	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	830	261	Preview	12/09/2011 19:34:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	830	261	Accepted	12/09/2011 19:34:05	12/09/2011 19:36:38	68.98	0.00	1	0	27.79	0.00	1	0	21.62	0.00	2	2	8.83	0.00	2	0	23.33	0.00	2	1	0	0	""
1	452	221	Preview	12/09/2011 19:34:21	12/09/2011 19:37:51	100.98	3.51	NA	NA	17.22	0.00	NA	NA	30.74	0.00	NA	NA	29.46	0.00	NA	NA	30.00	0.00	NA	NA	NA	NA	NA
1	466	741	Accepted	12/09/2011 19:34:33	12/09/2011 19:36:07	30.80	0.00	1	1	10.01	0.00	2	2	8.74	0.00	1	2	23.61	0.00	1	2	18.85	0.00	2	2	0	0	""
1	546	145	Preview	12/09/2011 19:34:47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	42	741	Accepted	12/09/2011 19:36:12	12/09/2011 19:37:32	28.94	0.00	2	2	13.11	0.00	1	2	8.43	0.00	1	2	11.26	0.00	2	2	16.39	0.00	2	2	1	0	""
1	795	34	Preview	12/09/2011 19:36:27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	798	26	Preview	12/09/2011 19:36:35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	407	261	Preview	12/09/2011 19:36:41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	407	261	Accepted	12/09/2011 19:36:48	12/09/2011 19:41:30	68.39	0.00	1	0	42.14	0.00	1	0	80.69	0.00	1	0	53.83	0.00	1	0	34.71	0.00	2	0	0	0	""
1	12	741	Accepted	12/09/2011 19:37:38	12/09/2011 19:39:10	23.51	0.00	2	2	14.34	0.00	1	2	19.31	0.00	1	0	9.54	0.00	1	2	22.67	0.00	2	2	0	0	""
1	827	87	Preview	12/09/2011 19:37:55	12/09/2011 19:38:15	20.02	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	795	248	Preview	12/09/2011 19:38:06	12/09/2011 19:38:18	10.01	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	827	87	Accepted	12/09/2011 19:38:19	12/09/2011 19:41:25	79.81	0.00	2	2	26.73	0.00	2	0	13.32	0.00	2	0	25.60	0.00	1	0	39.43	0.00	2	1	1	0	""
1	784	741	Accepted	12/09/2011 19:39:15	12/09/2011 19:41:03	25.37	0.00	1	2	12.17	0.00	2	2	19.27	0.00	2	2	34.61	0.00	2	2	14.45	0.00	1	2	0	0	""
1	452	395	Preview	12/09/2011 19:40:15	12/09/2011 19:41:16	60.06	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	549	537	Preview	12/09/2011 19:40:43	12/09/2011 19:42:04	80.05	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	842	741	Accepted	12/09/2011 19:41:08	12/09/2011 19:43:13	29.84	0.00	2	2	21.84	0.00	2	1	29.44	0.00	1	2	25.17	0.00	1	2	15.32	0.00	1	2	0	0	""
1	421	261	Preview	12/09/2011 19:41:33	12/09/2011 19:41:45	10.01	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	458	87	Preview	12/09/2011 19:41:39	12/09/2011 19:42:20	40.03	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	421	261	Accepted	12/09/2011 19:41:50	12/09/2011 19:44:35	36.60	0.00	2	1	55.70	0.00	1	1	24.41	0.00	1	0	28.27	0.00	1	0	18.48	0.00	1	1	0	0	""
