set	topic	title	good	bad	doc1	doc1keys1	doc1keys2	doc1keys	doc2	doc2keys1	doc2keys2	doc2keys	doc3	doc3keys1	doc3keys2	doc3keys	doc4	doc4keys1	doc4keys2	doc4keys	doc5	doc5keys1	doc5keys2	doc5keys
1	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0005-13-15046	"health, gums, receding, 2008, remedy"	"functional, debts, gaining, identify, number"	1	clueweb09-en0009-45-34394	"plaque, prevent, treatments, disease, gum"	"write, food, ol, intended, health"	1	clueweb09-en0006-52-15042	"teeth, disease, periodontitis, bad, gum"	"seriously, death, 2009, 20002008, turn"	1	clueweb09-en0005-62-45078	"links, optimization, santa, cosmetic, pacific"	"city, area, gum, procedure, grafting"	2	clueweb09-en0010-06-11548	"child, reserved, months, pediatrician, representations"	"receding, gums, disease, treat, products"	2
3	20956	"Dental Hygiene Schools."	"pages about Dentral Hygiene Schools in the US, admission criteria and curriculum, types of degrees, job descriptions, etc."	"pages about hygiene products."	clueweb09-en0000-22-05262	"programs, oral, dental, hygiene, education"	"site, medical, notices, american, patient"	1	clueweb09-en0001-79-29000	"agreementdisclaimer, 20022007, corporation, conditions, report"	"college, hygiene, health, dental, schools"	2	clueweb09-en0001-65-22664	"msdh, gum, johns, gps, perform"	"association, hygienists, hygiene, schools, dental"	2	clueweb09-en0001-79-28996	"schools, dental, health, guide, hygiene"	"roses, doomsday, agreementdisclaimer, subject, set"	1	clueweb09-en0001-79-29003	"proquantum, mba, treasurers, copyright, innovators"	"carolina, dh, hygiene, schools, dental"	2
5	20584	"home remedies for Canker Sores (mouth ulcer)."	"pages that explain what canker sores are, how they develop, treatment, if they are contagious, etc."	"pages that just mention canker sores but do not provide useful information."	clueweb09-en0006-52-13246	"cold, article, treatment, rid, sores"	"speed, feeds, policy, reserved, advertising"	1	clueweb09-en0003-37-09785	"health, sores, wisdomcard, ulcers, canker"	"doctor, owners, rights, award, displaying"	1	clueweb09-en0000-81-11283	"cold, supplements, sores, canker, alternative"	"story, topics, 2009, rights, ucomparehealthcare"	1	clueweb09-en0008-38-13029	"diagnosis, newsletter, conditions, medicanet, bookmark"	"mouth, canker, remedies, sores, cures"	2	clueweb09-en0006-04-37660	"sores, canker, foods, remedy, treatment"	"book, search, forum, personal, freekitchen"	1
6	20812	"the Free Email Directory."	"the Free Email Directory homepage."	"other pages."	clueweb09-en0007-96-05137	"calendar, consumer, group, deals, solutions"	"direct, send, free, email, marketing"	2	clueweb09-en0002-88-15068	"pets, dietary, legal, collections, antiques"	"free, emails, website, webmail, links"	2	clueweb09-en0001-18-31893	"colorado, preparation, theme, developer, zone"	"yahoo, card, free, email, address"	2	clueweb09-en0003-97-33292	"health, 2007, visiting, reserved, finders"	"free, find, directory, services, email"	2	clueweb09-en0003-07-27459	"villa, score, entertainment, scale, cccs"	"service, address, card, free, email"	2
8	20636	"information on Earthquakes."	"pages that describe their causes or where they occur."	"pages that talk about forecasting and preparing or the damage they cause."	clueweb09-enwp00-57-00962	"terms, taxdeductible, trademark, copyrights, version"	"wikipedia, earthquake, articles, picture, needing"	2	clueweb09-en0002-91-14245	"disasters, 1989, california, earthquake, san"	"la, footage, taiwan, italy, gujrat"	1	clueweb09-enwp00-57-04014	"fault, occur, earthquakes, seismic, retrieved"	"disclaimers, trademark, privacy, 2009, vi"	1	clueweb09-en0003-72-10810	"fault, 2007, san, earthquake, california"	"terrorist, cd, wall, errupt, jr"	1	clueweb09-enwp01-53-23169	"documentation, disclaimers, taxdeductible, cite, modified"	"free, help, earthquake, wikipedia, list"	2
9	20696	"information about Supernova Stars."	"pages that explain what they are, their causes, power, what elements they create, etc."	"pages that simply talk about supernovas but do not provide any useful information."	clueweb09-en0000-03-28266	"magnetic, pulsar, star, supernova, core"	"grav, ucsd, 1999, april, 9500"	1	clueweb09-en0001-51-31321	"explosions, earth, star, universe, supernova"	"professor, phd, nets, guide, 6th"	1	clueweb09-en0000-37-11915	"supernova, energy, type, star, produced"	"arts, shopping, health, teens, supernowa"	1	clueweb09-en0003-92-15807	"space, telescope, observations, star, supernova"	"mark, wide, forastrophysics, field, probe"	1	clueweb09-en0008-58-31617	"star, supernova, collapse, energy, type"	"2007, map, patents, dissertations, comments"	1
10	20542	"information on how the Fly Pentop Computer works."	"pages that explain how it works and what it is used for."	"pages that merely mention the pen."	clueweb09-en0003-47-17392	"privacy, skype, rent, respective, government"	"game, fly, ebay, pentop, computer"	2	clueweb09-en0002-74-25816	"affiliates, website, conference, lighting, cactus"	"fusion, fly, computer, cables, pentop"	2	clueweb09-en0000-00-00000	"10, coldwell, nrt, english, cbmove"	"website, set, 00000n, rtreale, search"	2	clueweb09-enwp00-69-12844	"taxdeductible, december, policy, trademark, cite"	"pen, fusion, computer, fly, 10"	2	clueweb09-en0002-93-19628	"22, 17, photo, guest, 21"	"business, kids, stay, moms, work"	2
11	20766	"information on Prescription Diet Pills."	"pages that describe their names, cost, health insurance cost, how they work, side effects, etc."	"pages about diet pills without prescription."	clueweb09-en0006-52-13935	"effective, weight, pills, loss, diet"	"ate, chocolate, volunteers, info, fruit"	1	clueweb09-en0011-89-23943	"effects, diet, pills, hoodia, prescription"	"aids, system, la, threeday, disorder"	1	clueweb09-en0000-02-07298	"drugs, loss, pills, diet, prescription"	"visit, costumes, bbw, affiliate, companies"	1	clueweb09-en0006-52-19052	"20002008, 2009, boards, comparative, rights"	"weight, health, body, diet, pills"	2	clueweb09-en0000-10-03752	"pil, diet, online, buy, pill"	"ohentermine, dager, cidr, cards, hearg"	1
12	20584	"home remedies for Canker Sores (mouth ulcer)."	"pages that explain what canker sores are, how they develop, treatment, if they are contagious, etc."	"pages that just mention canker sores but do not provide useful information."	clueweb09-en0000-36-10380	"practices, org, terms, hipaa, privacy"	"mouth, canker, sores, ulcer, symptoms"	2	clueweb09-en0001-85-20638	"doctors, therapies, sores, canker, holisticonline"	"mail, site, copyright, developed, send"	1	clueweb09-en0000-00-19371	"hair, herbal, remedies, natural, infection"	"nonprescriptions, microshrink, ductile, upper, behavior"	1	clueweb09-en0000-81-11163	"canker, study, sores, chamomile, b12"	"ethics, calorie, privacy, events, count"	1	clueweb09-en0001-85-20640	"salts, tissue, maintained, prevention, lifestyle"	"therapies, alternative, canker, remedies, sores"	2
13	20976	"information on Sudoku Puzzles."	"online sudoku puzzles, its origins, software, games, etc."	"pages containing links to download puzzles."	clueweb09-enwp01-76-05535	"vi, february, gnu, charity, nonprofit"	"grid, sudoku, numbers, puzzle, squares"	2	clueweb09-en0007-88-32463	"link, israel, japan, initially, wikipedia"	"number, puzzle, sudoku, game, play"	2	clueweb09-en0002-78-30804	"events, user, reserved, 2009, igoogle"	"free, puzz, puzzle, sudoku, hard"	2	clueweb09-en0003-41-25532	"download, game, sudoku, puzzle, free"	"1439, yoporncom, nlmasterseek, adebayo, goeke"	1	clueweb09-en0004-31-10950	"free, puzzles, sudoku, printable, download"	"tailsupnet, n49581, wacker205, kapardin, 1450"	1
