id	country	run1pre	run1ski	run1acc	run1rej	run2pre	run2ski	run2acc	run2rej	run3pre	run3ski	run3acc	run3rej
1	"India"	0	0	0	0	1	1	1	0	0	0	0	0
2	"India"	0	0	0	0	1	0	0	0	0	0	0	0
3	"India"	0	0	0	0	6	0	4	2	0	0	0	0
4	"United States"	0	0	0	0	0	0	0	0	0	0	0	0
5	"United States"	0	0	0	0	1	0	0	0	0	0	0	0
6	"United States"	0	0	0	0	0	0	0	0	1	0	0	0
7	"United States"	0	0	0	0	5	0	0	0	0	0	0	0
12	"United States"	0	0	0	0	1	0	0	0	0	0	0	0
13	"United Kingdom"	2	0	0	0	0	0	0	0	0	0	0	0
15	"Moldova"	0	0	0	0	1	0	0	0	0	0	0	0
16	"India"	0	0	0	0	0	0	0	0	2	1	0	0
17	"India"	1	0	0	0	0	0	0	0	0	0	0	0
18	"Pakistan"	0	0	0	0	0	0	0	0	1	0	0	0
19	"India"	0	0	0	0	2	0	0	1	0	0	0	0
20	"India"	0	0	0	0	0	0	0	0	1	0	0	0
21	"India"	0	0	0	0	1	0	0	0	0	0	0	0
22	"India"	0	0	0	0	1	0	0	0	0	0	0	0
23	"India"	0	0	0	0	1	0	0	0	0	0	0	0
24	"India"	0	0	0	0	0	0	0	0	1	0	0	0
25	"Switzerland"	0	0	0	0	1	0	0	0	0	0	0	0
26	"India"	1	0	0	0	0	0	0	0	0	0	0	0
27	"India"	0	0	0	0	1	0	0	0	0	0	0	0
28	"India"	0	0	0	0	13	0	6	2	0	0	0	0
29	"India"	0	0	0	0	1	0	0	0	0	0	0	0
30	"India"	0	0	0	0	2	2	13	1	0	2	30	0
33	"India"	0	0	0	0	1	0	0	0	0	0	0	0
34	"India"	1	0	0	0	0	0	0	0	0	0	0	0
35	"India"	0	0	0	0	1	0	0	0	0	0	0	0
36	"India"	0	0	0	0	3	0	0	1	0	0	0	0
37	"India"	0	0	0	0	1	0	0	0	0	0	0	0
38	"India"	0	0	0	0	1	1	0	0	0	0	0	0
39	"India"	0	0	0	0	7	2	0	0	0	0	0	0
44	"India"	0	0	0	0	1	0	0	0	0	0	0	0
45	"India"	0	0	0	0	1	0	0	0	0	0	0	0
46	"India"	0	0	0	0	0	0	0	0	5	0	0	0
51	"India"	0	0	0	0	23	0	18	2	0	0	0	0
75	"India"	12	1	23	0	0	0	0	0	0	0	0	0
85	"India"	0	0	0	0	3	1	0	0	0	0	0	0
86	"India"	0	0	0	0	1	0	0	0	0	0	0	0
87	"India"	7	0	6	0	0	0	0	0	0	0	0	0
88	"India"	5	0	42	0	1	1	8	1	0	0	0	0
89	"India"	0	0	0	0	0	0	0	0	1	0	0	0
90	"India"	0	0	0	0	1	0	0	0	2	0	0	0
91	"India"	0	0	0	0	1	0	0	0	0	0	0	0
92	"India"	0	0	0	0	1	0	0	2	0	0	0	0
93	"India"	0	0	0	0	2	2	2	1	0	0	0	0
94	"India"	0	0	0	0	5	1	1	0	0	0	0	0
95	"India"	0	0	0	0	2	0	0	2	0	0	0	0
96	"India"	0	0	0	0	1	0	0	0	0	0	0	0
97	"India"	0	0	0	0	3	2	0	0	0	0	0	0
99	"India"	0	0	0	0	0	0	0	0	2	0	0	0
100	"India"	0	0	0	0	1	0	0	0	0	0	0	0
101	"Pakistan"	0	0	0	0	2	0	1	0	0	0	0	0
102	"India"	0	0	0	0	0	0	0	0	1	0	0	0
103	"United States"	0	0	0	0	2	0	1	0	0	0	0	0
104	"United States"	0	0	0	0	0	0	0	0	3	0	0	0
105	"India"	0	0	0	0	1	0	0	0	1	0	0	0
106	"India"	1	1	0	0	1	0	0	0	0	0	0	0
107	"India"	0	0	0	0	1	0	0	0	0	0	0	0
108	"India"	0	0	0	0	0	0	0	0	1	0	0	0
109	"India"	0	0	0	0	1	0	0	0	0	0	0	0
110	"India"	0	0	0	0	0	0	0	0	1	0	0	0
111	"India"	0	0	0	0	1	0	0	0	0	0	0	0
112	"India"	0	0	0	0	3	1	0	0	0	0	0	0
113	"India"	0	0	0	0	1	0	0	0	0	0	0	0
114	"India"	0	0	0	0	1	0	0	0	0	0	0	0
115	"India"	0	0	0	0	1	0	0	0	0	0	0	0
116	"India"	0	0	0	0	1	0	0	0	0	0	0	0
117	"India"	0	0	0	0	1	0	0	0	0	0	0	0
118	"India"	0	0	0	0	1	0	0	0	0	0	0	0
119	"India"	0	0	0	0	0	0	0	0	1	0	0	0
120	"India"	45	0	7	0	5	0	0	0	49	0	12	0
121	"India"	0	0	0	0	1	0	0	0	0	0	0	0
122	"India"	2	1	0	0	0	0	0	0	0	0	0	0
123	"India"	0	0	0	0	5	0	0	0	0	0	0	0
124	"India"	0	0	0	0	1	0	0	0	0	0	0	0
125	"India"	0	0	0	0	1	0	0	0	0	0	0	0
126	"India"	0	0	0	0	3	0	1	1	0	0	0	0
127	"India"	0	0	0	0	7	1	0	0	0	0	0	0
128	"India"	1	0	0	0	0	0	0	0	0	0	0	0
129	"India"	0	0	0	0	0	0	0	0	4	6	1	2
130	"India"	0	0	0	0	1	0	0	0	0	0	0	0
131	"India"	0	0	0	0	1	0	0	0	0	0	0	0
132	"India"	0	0	0	0	0	0	0	0	1	0	0	0
133	"India"	0	0	0	0	1	0	0	0	0	0	0	0
134	"India"	0	0	0	0	1	0	0	0	0	0	0	0
135	"India"	1	0	0	0	0	0	0	0	0	0	0	0
136	"India"	3	0	0	0	0	0	0	0	0	0	0	0
137	"India"	1	0	0	0	0	0	0	0	0	0	0	0
138	"India"	0	0	0	0	1	0	0	0	0	0	0	0
139	"India"	0	0	0	0	1	1	0	0	0	0	0	0
140	"India"	0	0	0	0	1	1	0	0	0	0	0	0
141	"India"	0	0	0	0	1	0	11	2	0	0	0	0
142	"United States"	0	0	0	0	1	0	0	0	0	0	0	0
143	"India"	0	0	0	0	1	0	0	0	0	0	0	0
144	"India"	0	0	0	0	0	0	0	0	1	0	0	0
145	"India"	2	1	0	0	0	0	0	0	0	0	0	0
146	"India"	0	0	0	0	1	0	0	0	0	0	0	0
147	"India"	0	0	0	0	2	0	0	0	0	0	0	0
148	"India"	0	0	0	0	0	0	0	0	1	0	0	0
149	"India"	0	0	0	0	1	0	0	0	2	0	0	0
150	"India"	0	0	0	0	0	0	0	0	4	0	0	0
152	"India"	0	0	0	0	1	0	0	0	0	0	0	0
153	"India"	1	0	0	0	0	0	0	0	0	0	0	0
154	"India"	4	1	0	0	1	0	0	0	0	0	0	0
156	"India"	0	0	0	0	0	0	0	0	1	0	0	0
157	"India"	0	0	0	0	0	0	0	0	1	0	0	0
